feature,gain,split
PREV_LAST12M_AMT_CREDIT_SUM,5305.1244434833525,272.4
BUREAU_LAST6M_DEBT_CREDIT_DIFF_MEAN,5295.551930475235,265.1
POS_REMAINING_INSTALMENTS_RATIO,5287.979653644562,261.2
INS_36M_LATE_PAYMENT_MEAN,5273.3015094280245,231.6
PREV_Cash_AMT_ANNUITY_MAX,5247.5690700054165,287.3
INS_LATE_PAYMENT_RATIO_MEAN,5233.0989469051365,257.3
PREV_APPLICATION_CREDIT_RATIO_MIN,5232.360857772827,242.2
PREV_APPLICATION_CREDIT_DIFF_MIN,5221.747900295258,272.3
INS_60M_AMT_PAYMENT_MEAN,5183.925223112106,257.8
PREV_ACTIVE_AMT_APPLICATION_MEAN,5180.34795255661,267.7
PREV_ACTIVE_AMT_ANNUITY_SUM,5178.684661769867,261.4
BUREAU_SK_ID_BUREAU_NUNIQUE,5155.412684881687,252.6
PREV_LAST12M_AMT_ANNUITY_MEAN,5149.813288593292,276.4
INS_DPD_7_MEAN,5144.0095079422,189.8
APPROVED_DAYS_TERMINATION_MEAN,5132.501148271561,254.8
APPROVED_AMT_CREDIT_MEAN,5131.670259904861,256.4
APPROVED_AMT_CREDIT_MAX,5119.7309561729435,251.0
INS_36M_PAYMENT_DIFFERENCE_MEAN,5111.342941188812,222.0
PREV_CREDIT_TO_ANNUITY_RATIO_MAX,5095.539691781998,251.9
PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MEAN,5092.407294225693,231.4
PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MAX,5082.429616260529,200.9
PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MEAN,5068.824126434326,209.8
BUREAU_LL_DEBT_CREDIT_DIFF_MEAN,5046.125889635086,254.7
INS_60M_AMT_INSTALMENT_MAX,5023.936580657959,241.6
INS_PAYMENT_DIFFERENCE_MEAN,5023.2240216732025,224.6
INS_AMT_PAYMENT_MEAN,5010.49684715271,243.1
INS_60M_DPD_VAR,4999.234272480011,212.6
ENTRANCES_AVG,4984.722060251236,259.0
DEF_60_CNT_SOCIAL_CIRCLE,4975.196042060852,184.1
24_TREND_PAID_OVER_AMOUNT,4966.81742978096,262.4
APPROVED_CREDIT_TO_ANNUITY_RATIO_MAX,4927.0637215137485,239.7
FLAG_WORK_PHONE,4896.662179756165,223.4
PREV_NAME_YIELD_GROUP_middle_MEAN,4895.025515937805,257.4
BUREAU_CLOSED_AMT_CREDIT_MAX_OVERDUE_MAX,4878.084748601914,256.5
BUREAU_LAST12M_AMT_CREDIT_MAX_OVERDUE_MAX,4877.793010377884,185.3
AMT_CREDIT_MAX_OVERDUE,4850.3996664047245,219.2
INS_AMT_INSTALMENT_MEAN,4838.023863840103,243.1
BUREAU_STATUS_C_MEAN,4820.188842058182,252.5
LAST_LOAN_PAID_OVER_AMOUNT_mean,4807.398171854019,185.4
AGE_RANGE,4804.915127277374,159.8
BUREAU_MONTHS_BALANCE_SIZE_MEAN,4783.445839357376,227.2
PREV_AMT_ANNUITY_MAX,4783.015765619278,256.8
PREV_ACTIVE_AMT_ANNUITY_MAX,4766.671694278717,240.8
APPROVED_DAYS_LAST_DUE_MEAN,4743.34491853714,226.1
INS_60M_LATE_PAYMENT_MEAN,4740.561185741424,210.8
INS_LATE_PAYMENT_MEAN,4731.375771093369,233.4
BUREAU_CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,4689.255341815949,234.0
BUREAU_ACTIVE_MONTHS_BALANCE_SIZE_MEAN,4687.461146306991,281.1
